localSpeciesId,GBIFSpeciesId,INaturalistSpeciesId,otherCatalogNumbers,scientificName,previousIdentifications,vernacularName,previousVernacularNames,family,isInvasive,isRare
1,1919332,1468919,,"Euchloe aegyptiaca",,"ירוק־כנף מצרי",,Pieridae,0,0
2,1919324,518615,,"Euchloe falloui",,"ירוק-כנף המוריקה"," לבנין מוריקנדיה",Pieridae,0,0
3,4691894,543513,,"Allancastria deyrollei",,"צבעוני צהבהב"," צבעוני צהוב",Papilionidae,0,0
4,5141291,464146,"GBIF:4691880 | GBIF:8906278","Zerynthia cerisy","Allancastria cerisyi | Thais cerisy","צבעוני קשוט",,Papilionidae,0,0
5,1919223,751461,GBIF:4535286,"Elphinstonia charlonia","Euchloe charlonia","ירוק-כנף צהבהב"," לבנין צהבהב",Pieridae,0,0
6,1926720,119836,GBIF:8109154,"Cigaritis cilissa","Apharitis cilissa","נחושתן-נמלים גלילי",,Lycaenidae,0,0
7,1946661,357372,,"Borbo borbonica",,"הספרית ביצות"," הספרית החולה | הספרית הביצות",Hesperiidae,0,1
8,1919181,125577,GBIF:11408226,"Belenois aurota","Anaphaeis aurota | Anaphaeis aurotota","לבנין משויש",,Pieridae,0,0
9,5142338,1604936,,"Gegenes nostrodamus",,"הספרית עשב",,Hesperiidae,0,0
10,1910628,51578,,"Hypolimnas misippus",,"נימפית הרגלה","נימפית המראה",Nymphalidae,0,0
11,1906552,362061,,"Hyponephele lupinus",,"סטירית סומית",,Nymphalidae,0,0
12,1937791,363239,,"Papilio saharae",,"זנב-סנונית מדברי",,Papilionidae,0,0
13,4535162,1474674,,"Turanana panagea","Turanana panagaea","תכול-כנף נקוד",,Lycaenidae,0,0
14,1928100,496919,11993324,"Iolaus glaucus","Argiolaus glaucus | Epamera glaucus","תכלתן ההרנוג","כחליל הרנוג",Lycaenidae,0,0
15,5130542,68423,,"Junonia hierta",,"נימפית הריסן",,Nymphalidae,0,0
16,5140430,903680,"GBIF:10442031 | GBIF:8967864 | GBIF:6237749 | GBIF:9080264 | GBIF:8838594","Polyommatus eurypilus","Kretania eurypilus | Kretania pelopides | Lycaena carmon | Lycaena eurypilus | Plebejus eurypilus","כחליל הכרבולת","כחליל שיאון",Lycaenidae,0,0
17,1926722,119837,GBIF:4535249,"Cigaritis acamas","Apharitis acamas","נחושתן-נמלים מפוספס","כחליל מנומר",Lycaenidae,0,0
18,10825466,1003779,"GBIF:9912937 | GBIF:4535090 | GBIF:8924655 | GBIF:5138867 | GBIF:11730869 | INat:1052822","Luthrodes galba","Lachides galba | Chilades galba | Cupido galba | Lycaena galba | Lachides galba galba | Luthrodes galba ssp. Galba","כחליל הקטנית","כחליל הינבוט | כחלון הינבוט",Lycaenidae,0,0
19,1926324,480251,4535180,"Quercusia quercus","Favonius quercus","אלוני סגול"," כחליל סגול",Lycaenidae,0,0
21,1932411,60896,GBIF:7370850,"Callophrys rubi","Papilio rubi","ירוקי אירופי"," כחליל ירוק",Lycaenidae,0,0
23,5140235,1113194,GBIF:5883545,"Polyommatus juno","Polyommatus icarus subsp. juno","כחליל החרמון",,Lycaenidae,0,0
24,8928849,1231330,GBIF:8876661,"Plebejus loewii","Lycaena loewii | Lycaena loewii Zeller","כחליל לואי",,Lycaenidae,0,0
25,10384044,903109,"GBIF:6238921 | GBIF:5138298","Kretania nichollae","SPECIES:Plebejus pylaon | SPECIES:Kretania pylaon | Plebejus pylaon subsp. Nicholli | Lycaena nicholli","כחליל ניקול","כחליל פילאון ניקולה",Lycaenidae,0,0
26,5139156,62439,,"Cyaniris semiargus",,"כחליל חינני","כחליל אנטיוכיה",Lycaenidae,0,0
27,5138553,1347947,GBIF:5138298,"Plebejus cleopatra","SPECIES:Kretania pylaon | Kretania cleopatra","כחליל קלאופטרה","כחליל פילאון קליאופטרה",Lycaenidae,0,0
28,12110847,1501830,,"Plebeius philbyi","Kretania philbyi","כחליל ערבתי","כחליל צפרירי",Lycaenidae,0,0
