Category,Scientific Name,Hebrew Name
פרפרים,Euchloe aegyptiaca,ירוק־כנף מצרי
פרפרים,Euchloe falloui,ירוק-כנף המוריקה
פרפרים,Allancastria deyrollei,צבעוני צהבהב
פרפרים,Zerynthia cerisy,צבעוני קשוט
פרפרים,Elphinstonia charlonia,ירוק-כנף צהבהב
פרפרים,Cigaritis cilissa,נחושתן-נמלים גלילי
פרפרים,Borbo borbonica,הספרית ביצות
פרפרים,Belenois aurota,לבנין משויש
פרפרים,Gegenes nostrodamus,הספרית עשב
פרפרים,Hypolimnas misippus,נימפית הרגלה
פרפרים,Hyponephele lupinus,סטירית סומית
פרפרים,Papilio saharae,זנב-סנונית מדברי
פרפרים,Turanana panagea,תכול-כנף נקוד
פרפרים,Iolaus glaucus,תכלתן ההרנוג
פרפרים,Junonia hierta,נימפית הריסן
פרפרים,Polyommatus eurypilus,כחליל הכרבולת
פרפרים,Cigaritis acamas,נחושתן-נמלים מפוספס
פרפרים,Luthrodes galba,כחליל הקטנית
פרפרים,Quercusia quercus,אלוני סגול
פרפרים,Callophrys rubi,ירוקי אירופי
פרפרים,Polyommatus juno,כחליל החרמון
פרפרים,Plebejus loewii,כחליל לואי
פרפרים,Kretania nichollae,כחליל ניקול
פרפרים,Cyaniris semiargus,כחליל חינני
פרפרים,Plebejus cleopatra,כחליל קלאופטרה
פרפרים,Plebeius philbyi,כחליל ערבתי
פרפרים,Luthrodes pandava,כחליל הציקס
פרפרים,Aricia crassipuncta,כחליל מאפיר
פרפרים,Tarucus rosacea,כחלון השיזף
פרפרים,Anthocharis gruneri,כתום-כנף הדו-פרית
פרפרים,Anthocharis damone,כתום-כנף צהוב
פרפרים,Pieris napi,לבנין מעורק
פרפרים,Colias aurorina,צהבוני הלבנון
פרפרים,Hesperia nomas,אפורית מלבינה
פרפרים,Muschampia proteides lycaonius,אפורית חלודית
פרפרים,Muschampia proto,אפורית אירופית
פרפרים,Melitaea arduinna,כתמית הדרדר
פרפרים,Melitaea deserticola,כתמית מדברית
פרפרים,Melitaea collina,כתמית צפונית
פרפרים,Carcharodus orientalis,אפורית המכבים
פרפרים,Thymelicus acteon,נחושת השעורה
פרפרים,Thymelicus hyrax,נחושה נאה
פרפרים,Aglais urticae,נימפית החרמון
פרפרים,Thymelicus lineola,נחושת החיטה
פרפרים,Fabriciana niobe,כתמית הסיגל
פרפרים,Carcharodus stauderi,אפורית הגלונית
פרפרים,Nymphalis polychloros,נימפית מגוונת
פרפרים,Satyrus ferula,סטירית מפויחת
פרפרים,Pyrgus serratulae,אפורית החמשן
פרפרים,Pseudochazara thelephassa,סטירית מערות
פרפרים,Elphinstonia penia,ירוק-כנף המנתור
פרפרים,Anthene amarah,שיטן אילתי
פרפרים,Aricia isaurica,כחליל חיוור
פרפרים,Gomalia elma,אפורית האבוטילון
פרפרים,Polygonia c-album,נימפית טוביה
פרפרים,Colias croceus,צהבוני התלתן
פרפרים,Limenitis reducta,אצילית היערה
פרפרים,Papilio machaon,זנב סנונית נאה
פרפרים,Papilio demoleus,זנב סנונית הלימון
פרפרים,Papilio alexanor,זנב סנונית המכבים
פרפרים,Pararge aegeria,חומית מנומרת
פרפרים,Hesperia comma,נחושה לבנת-כתמים
פרפרים,Thymelicus sylvestris,נחושת הנשרן
פרפרים,Lycaena,נחושתן זהוב
פרפרים,Lycaena phlaeas,נחושתן הארכובית
פרפרים,Spialia phlomidis,נקדית החרמון
פרפרים,Spialia sertorius,נקדית הורדיים
פרפרים,Vanessa cardui,נימפית החורשף
פרפרים,Vanessa atalanta,נמפית הסרפד
פרפרים,Melitaea cinxia,כתמית הוורוניקה
פרפרים,Melitaea trivia,כתמית הבוצין
פרפרים,Damora pandora,כתמית פנדורה
פרפרים,Melitaea telona,כיתמית אריאל
פרפרים,Spialia doris,נקדית החבלבל
פרפרים,Iphiclides podalirius,סנוניתן הוורדיים
פרפרים,Lasiommata maera,חומית היבלית
פרפרים,Pseudochazara pelopea,סטירית חרמונית
פרפרים,Hyponephele lycaon,סטירית חיוורת
פרפרים,Chazara persephone,סטירית טלואה
פרפרים,Lasiommata megera,חומית הציבורת
פרפרים,Hipparchia fatua,סטירית אפלה
פרפרים,Maniola telmessia,סטירית פקוחה
פרפרים,Zerynthia deyrollei,צבעוני צהוב
פרפרים,Archon apollinus,צבעון שקוף
פרפרים,Tomares nesimachus,צמריר הקדד
פרפרים,Aporia crataegi,רשתן העוזרר
פרפרים,Danaus chrysippus,דנאית הדורה
פרפרים,Colotis fausta,דרומי הצלף
פרפרים,Pelopidas thrax,הספרית הדוחן
פרפרים,Gegenes pumilio,הספרית שחורה
פרפרים,Catopsilia florella,הגרן הסנא
פרפרים,Tarucus balkanica,כחלון הבלקן
פרפרים,Cacyreus marshalli,כחלון הפלרגון
פרפרים,Azanus ubaldus,כחלון השיטה
פרפרים,Leptotes pirithous,כחלון האספסת
פרפרים,Thersamonia thersamon,נחושתן החומעה
פרפרים,Lampides boeticus,כחלון האפון
פרפרים,Plebejus amanda,כחליל הבקיה
פרפרים,Zizeeria karsandra,כחלון הקוטב
פרפרים,Polyommatus icarus,כחליל השברק
פרפרים,Pseudophilotes baton,תכליל האזוב
פרפרים,Nordmannia ilicis,שעיר האלון
פרפרים,Plebejidea loewi,כחליל המדבר
פרפרים,Azanus jesous,כחלון הינבוט
פרפרים,Lycaena asabinus,נחושתן מזרחי
פרפרים,Anthocharis cardamines,כתום-כנף המצילתיים
פרפרים,Melitaea acentria,כתמית החרמון
פרפרים,Melitaea didyma,כתמית הלבנון
פרפרים,Issoria lathonia,כתמית פנינים
פרפרים,Celastrina argiolus,תכול-כנף קיסוסי
פרפרים,Iolana alfierii,קרקשי הסנה
פרפרים,Satyrium myrtale,שעיר הדובדבן
פרפרים,Satyrium abdominalis,שעיר השקד
פרפרים,Tuttiola spini,שעיר האשחר
פרפרים,Parnassius mnemosyne,שילגן חרמוני
פרפרים,Melanargia titea,אביבית משויישת
פרפרים,Carcharodus alceae,אפורית החלמית
פרפרים,Erynnis marloyi,אפורית אפלולית
פרפרים,Colotis phisadia,דרומי הסלודורה
פרפרים,Pieris rapae,לבנין הצנון
פרפרים,Pontia daplidice,לבנין הרכפה
פרפרים,Pontia glauconome,לבנין הרכפתן
פרפרים,Pieris brassicae,לבנין הכרוב
פרפרים,Euchloe ausonia,ירוק-כנף טלוא
פרפרים,Euchloe belemia,ירוק-כנף מפוספס
פרפרים,Gonepteryx cleopatra,לימוני האשחר
פרפרים,Gonepteryx rhamni,לימוני אירופי
פרפרים,Gonepteryx farinosa,לימונית החרמון
פרפרים,Pyrgus melotis,אפורית מזרחית
פרפרים,Junonia orithya,נימפית כחולה
פרפרים,Aricia agestis,כחליל הגרניון
פרפרים,Ypthima asterope,טבעית זוטית
פרפרים,Hipparchia pisidice,סטירית סיני
פרפרים,Pseudophilotes abencerragus,תכליל נבטי
פרפרים,Freyeria trochylus,כחליל מקושט
פרפרים,Glaucopsyche alexis,כחליל הדבשה
פרפרים,Melitaea phoebe,כתמית אירופית
פרפרים,Kirinia roxelana,חומנית עינונית
פרפרים,Maniola jurtina,סטירית הקיץ
פרפרים,Catopsilia pyranthe,Mottled Emigrant
פרפרים,Melitaea persea,נימפית פרסית
פרפרים,Deudorix livia,כחליל הרימון
פרפרים,Zegris eupheme,כתום-קצה מדברי
פרפרים,Polygonia egea,נימפית משוננת
פרפרים,Charaxes jasius,קיסרית הקטלב
פרפרים,Brephidium exilis,Western Pygmy-Blue
פרפרים,Philareta treitschkii,פילרטה טרייטשקיי
