Unmatched species from master-species-map.ts after join with species_master_list.csv
Total unmatched: 1762

Ablattaria arenaria
Ablepharus rueppellii
Acacia saligna
Acanthus syriacus
Achyranthes aspera
Acridotheres tristis
Acridotheres tristis tristis
Acrobasis bithynella
Acrobasis consociella
Acrobasis fallouella
Acrobasis legatea
Acrosternum millierei
Acrotylus insubricus
Acrotylus patruelis
Adalia decempunctata
Adonis annua
Adonis microcarpa
Adonis palaestina
Aedes albopictus
Aegilops geniculata
Aegilops peregrina
Agalmatium bilobum
Agapanthia suturalis
Agelena labyrinthica
Agelena orientalis
Agonopterix rutana
Agriopis bajaria
Agriphila inquinatella
Agrochola hypotaenia
Agrochola osthelderi
Agrochola pauli
Agrochola staudingeri
Agrotis haifae
Aiolopus puissanti
Aiolopus strepens
Ajuga chamaepitys
Ajuga chamaepitys chia
Alcea setosa
Alcedo atthis
Alectryon tomentosus
Aleucis orientalis
Alhagi graecorum
Allium galileum
Allium neapolitanum
Allium phanerantherum
Allophyes benedictina
Alopecurus myosuroides
Alosimus brevicornis
Altenia mersinella
Alyssum simplex
Alyssum strigosum
Amanita echinocephala
Amaranthus blitoides
Amaranthus palmeri
Amaranthus retroflexus
Ambrosia confertiflora
Ameles heldreichi
Ammi majus
Ammobatoides abdominalis
Amphipyra micans
Anacamptis collina
Anacamptis papilionacea palaestina
Anacamptis sancta
Anacridium aegyptium
Anarta trifolii
Anas acuta
Anas platyrhynchos
Anatrachyntis badia
Anchusa aegyptiaca
Anchusa strigosa
Ancylolomia pectinatellus
Ancylolomia tentaculella
Ancylolomia tripolitella
Ancylosis hellenica
Ancyrosoma leucogrammes
Andrachne telephioides
Andricus miriami
Androctonus crassicauda
Andropogon distachyos
Anemone coronaria
Anthaxia muliebris
Anthemis pseudocotula
Anthracia eriopoda
Anthrenus isabellinus
Anthrenus verbasci
Anthus cervinus
Anthus pratensis
Anthyllis circinnata
Apate monachus
Aphomia cephalonica
Apis mellifera
Aplidia chaifensis
Aporophyla australis
Apus apus
Archips rosana
Archispirostreptus syriacus
Arctosa leopardus
Ardea alba
Ardea ibis
Arenaria leptoclados
Arge rustica
Argiope lobata
Argiope trifasciata
Arisarum vulgare
Aristolochia bottae
Armadillidium marmoratum
Arrhaphipterus blanchei
Artedia squamata
Arum dioscoridis
Arum palaestinum
Arundo donax
Asparagus aphyllus
Asparagus setaceus
Asphodeline lutea
Asphodelus ramosus
Astragalus hamosus
Astragalus macrocarpus
Athene noctua
Atractylis cancellata
Atriplex halimus
Atriplex prostrata
Autophila cerealis
Bassaniodes bufo
Batocera rufomaculata
Bedellia somnulentella
Bellevalia flexuosa
Bellis annua
Bellis sylvestris
Bena bicolorana
Beosus quadripunctatus
Beta vulgaris
Biarum pyrami
Bibio hortulanus
Bidens pilosa
Biscutella didyma
Biston achyra
Bituminaria bituminosa
Blatta orientalis
Blepharidopterus angulatus
Blepharopsis mendica
Bolboschoenus maritimus
Bombus terrestris
Bombycopsis ledereri
Bombylella atra
Bombylius medius
Bongardia chrysogonum
Borkhausenia einsleri
Brachyglossina stefani
Brachynema germarii
Brachypodium sylvaticum
Brachythemis impartita
Bromus alopecuros
Bromus lanceolatus
Bryonia cretica
Bryonia syriaca
Bryopsis amasina
Bubopsis andromache
Bucephaloptera ebneri
Bufotes viridis sitibundus
Buglossoides arvensis
Bupleurum nodiflorum
Bupleurum subovatum
Burhinus oedicnemus
Caenocoris nerii
Cairina moschata domestica
Calathus fuscipes
Calendula arvensis
Calendula palaestina
Calicotome villosa
Calidris minuta
Calliptamus barbarus
Callonetta leucophrys
Calocoris nemoralis
Calocucullia celsiae
Calophasia platyptera
Campanula erinus
Campanula rapunculus
Camponotus sanctus
Canis aureus
Canis familiaris
Cantharis lateralis
Cantharis livida
Cantharis melaspoides
Capparis zoharyi
Capsella bursa-pastoris
Carabus impressus
Caradrina clavipalpis
Caradrina flavirena
Caradrina kadenii
Caradrina syriaca
Carduelis carduelis
Carduus argentatus
Carlina curetum
Carlina lanata
Carpocoris mediterraneus
Carpocoris mediterraneus mediterraneus
Carthamus glaucus
Cataglyphis nodus
Catananche lutea
Catocala nymphagoga
Catocala separata
Centaurea cyanoides
Centaurea iberica
Centaurea verutum
Centaurium tenuiflorum
Centrocoris variegatus
Cephalaria joppensis
Cerastium glomeratum
Ceratitis capitata
Ceratocapnos turbinata
Ceratonia siliqua
Cercopis intermedia
Cercopis septemmaculata
Cerroneuroterus lanuginosus
Ceryle rudis
Cettia cetti
Ceutholopha isidis
Chaetopelma olivaceum
Chaetophiloscia elongata
Chaetosciadium trichospermum
Chalcides ocellatus
Chalcolestes parvidens
Chamaeleo chamaeleon
Charissa onustaria
Cheiracanthium mildei
Chiliadenus iphionoides
Chloris chloris
Chlorophorus varius
Chlorothalpa subsericata
Chnootriba elaterii
